seed,final_acc,min_acc,min_correct_logit,best_s1,best_s2,best_delta_theta
0,0.99575,0.0005000000237487257,-0.54527747631073,2.5,-1.5,30.0
1,0.99825,0.0017500000540167093,-2.706699848175049,1.5,-1.5,0.0
2,0.99825,0.0017500000540167093,-2.5538058280944824,1.5,-1.5,0.0
3,0.995,0.005000000353902578,-2.1669082641601562,1.5,-1.5,0.0
4,1.0,0.0,-2.7812066078186035,1.5,-1.5,0.0
5,0.999,0.0010000000474974513,-2.7253258228302,1.5,-1.5,0.0
6,1.0,0.0,-2.758563280105591,1.5,-1.5,0.0
7,0.9945,0.002500000176951289,-0.3233427405357361,3.0,-1.5,40.0
8,1.0,0.0,-3.212374448776245,1.5,-1.5,0.0
9,0.9985,0.001500000013038516,-2.5905685424804688,1.5,-1.5,0.0
10,0.9935,0.002500000176951289,-0.7541627287864685,1.5,-1.0,20.0
11,0.9995,0.0,-1.77544105052948,1.5,-1.5,10.0
12,0.99925,0.0005000000237487257,-0.9101517796516418,1.0,1.5,20.0
13,0.993,0.0027500002179294825,-0.43665382266044617,0.5,3.5,30.0
14,0.9985,0.001500000013038516,-2.74527907371521,1.5,-1.5,0.0
15,0.99425,0.0032500000670552254,-2.1222472190856934,2.0,0.0,20.0
16,0.99725,0.002500000176951289,-1.0842307806015015,3.5,1.0,70.0
17,0.99875,0.0005000000237487257,-1.4213248491287231,1.0,1.5,40.0
18,0.99725,0.0027500002179294825,-0.5135140419006348,2.0,-1.5,30.0
19,1.0,0.0,-2.7766966819763184,1.5,-1.5,0.0
20,1.0,0.0,-2.6347532272338867,1.5,-1.5,0.0
21,1.0,0.0,-2.538706064224243,1.5,-1.5,0.0
22,0.9985,0.001500000013038516,-2.43497371673584,1.5,-1.5,0.0
23,0.9935,0.005250000394880772,-0.762100875377655,1.0,3.5,10.0
24,1.0,0.0,-2.0445609092712402,1.5,-0.5,0.0
25,0.99025,0.009750000201165676,-2.1694610118865967,2.0,-1.5,0.0
26,0.9925,0.0010000000474974513,-0.9729694128036499,1.5,2.0,0.0
27,1.0,0.0,-3.5125579833984375,1.5,-1.5,0.0
28,0.99625,0.0035000001080334187,-0.6327890753746033,1.0,2.0,20.0
29,0.99825,0.001500000013038516,-1.709877610206604,1.0,1.5,30.0
30,0.9985,0.001500000013038516,-2.4614360332489014,1.5,1.0,0.0
31,0.99525,0.0017500000540167093,-1.1072136163711548,1.0,2.5,20.0
32,0.9995,0.0002500000118743628,-0.17104580998420715,3.5,-0.5,50.0
33,0.99675,0.002500000176951289,-0.5436118841171265,2.5,-0.5,40.0
34,0.99975,0.0002500000118743628,-2.453028917312622,1.5,-1.5,0.0
35,0.99625,0.0027500002179294825,-0.9327079057693481,1.0,3.0,10.0
36,0.99975,0.0002500000118743628,-2.4300684928894043,1.5,-1.5,0.0
37,0.9955,0.003000000026077032,-1.969939112663269,1.5,-1.5,0.0
38,1.0,0.0,-2.63846492767334,1.5,-1.5,0.0
39,0.99225,0.007750000339001417,-2.234463691711426,1.5,-1.5,0.0
40,0.99975,0.0002500000118743628,-2.563276767730713,1.5,-1.5,0.0
41,0.99975,0.0002500000118743628,-3.491410732269287,1.5,-1.5,0.0
42,1.0,0.0,-2.7496402263641357,1.5,-1.5,0.0
43,0.99875,0.0010000000474974513,-0.5284232497215271,1.0,3.0,10.0
44,0.99075,0.007500000298023224,-0.7911220788955688,3.5,-1.5,40.0
45,0.99875,0.0002500000118743628,-1.092044711112976,2.0,-0.5,30.0
46,1.0,0.0,-2.6232635974884033,1.5,-1.5,0.0
47,0.99975,0.0002500000118743628,-2.6290366649627686,1.5,-1.5,0.0
48,0.997,0.003000000026077032,-2.0365304946899414,1.5,2.0,0.0
49,0.99875,0.0012500000884756446,-1.8303284645080566,1.5,-1.5,0.0
50,0.9995,0.0002500000118743628,-1.7896296977996826,1.5,-1.5,0.0
51,0.99825,0.0017500000540167093,-2.35534930229187,1.5,-1.5,0.0
52,0.9985,0.001500000013038516,-2.6579673290252686,1.5,-1.5,0.0
53,1.0,0.0,-2.7470874786376953,1.5,-1.5,0.0
54,0.99725,0.0017500000540167093,-1.1056843996047974,-0.5,2.0,60.0
55,0.99875,0.0010000000474974513,-2.0501816272735596,1.5,3.5,20.0
56,0.9995,0.0005000000237487257,-2.441941976547241,1.5,3.5,0.0
57,1.0,0.0,-2.8672807216644287,1.5,-1.5,0.0
58,0.99775,0.0020000000949949026,-0.8502027988433838,1.5,-1.0,20.0
59,0.99625,0.003750000149011612,-1.7954769134521484,1.5,3.5,0.0
60,0.9995,0.0,-1.007387399673462,1.0,1.5,20.0
61,0.998,0.0002500000118743628,-0.5904539823532104,1.5,-1.5,20.0
62,0.994,0.003750000149011612,-2.385819911956787,2.0,3.5,10.0
63,0.99925,0.000750000006519258,-2.948045253753662,1.5,-1.0,0.0
64,0.999,0.000750000006519258,-1.6338380575180054,1.5,-1.5,10.0
65,0.99375,0.0012500000884756446,-1.1789478063583374,3.5,0.5,50.0
66,1.0,0.0,-2.8213658332824707,1.5,-1.5,0.0
67,0.9965,0.0032500000670552254,-0.4852018654346466,-1.5,3.5,50.0
68,0.99975,0.0,-3.2597897052764893,1.5,-1.5,0.0
69,0.99425,0.0017500000540167093,-0.3935970664024353,-1.5,3.5,50.0
70,1.0,0.0,-2.8248331546783447,1.5,-1.5,0.0
71,0.9985,0.001500000013038516,-2.6574137210845947,1.5,-1.5,0.0
72,1.0,0.0,-2.7320597171783447,1.5,-1.5,0.0
73,1.0,0.0,-3.121837615966797,1.5,-1.5,0.0
74,0.998,0.0010000000474974513,-2.2766382694244385,1.5,3.5,10.0
75,0.99875,0.0012500000884756446,-2.7873427867889404,1.5,-1.5,0.0
76,0.99925,0.000750000006519258,-2.552342414855957,1.5,-1.5,0.0
77,0.995,0.003000000026077032,-1.261041522026062,1.5,3.0,0.0
78,0.99275,0.0062500000931322575,-0.6873425245285034,1.0,1.5,30.0
79,0.999,0.0005000000237487257,-2.508551836013794,2.5,0.0,20.0
